user_id,videos_json,channel_title,thumbnail_link,view_count,subscriber_count,video_count
UCZm-Qu4f8XHlfcZPIa2Vxxg,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 1, ""comment"": ""Love where this is headed!\nYADNUS \ud83d\udcaa\ud83c\udffd""}]",Samantha Windsor,https://yt3.ggpht.com/ytc/AIdro_nV4qmg8zRg4uqUV7V4d8G_AuUE6Ry0UT7iJplWZQFJET8=s88-c-k-c0x00ffffff-no-rj,0,0,0
UC89mwp7RoqXh70iA8gh6KMw,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",LiL Mars,https://yt3.ggpht.com/bQNpOOAggTqOdSOz4GqrnxVZYnHT5nhj1r8PRbNXR-G-QDhk_DQnZvYdpknvzRgLdGb6xsrpjHM=s88-c-k-c0x00ffffff-no-rj,63758,519,68
UCqaNqAEMYSpZqm4YC2BGN1A,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnus""}]",Hunter Gressly,https://yt3.ggpht.com/ytc/AIdro_ldGhvTTxPAhdpCcc57fbHFnDAfHqgeFeIQMP4P5nw=s88-c-k-c0x00ffffff-no-rj,38,1,12
UC4eoBQY6QqhUYlo1psRKcpQ,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Wild watching you back in the day, growing out of the Nelk boy content and full send etc, really refreshing seeing you growing up humbling yourself and moving forward with your own interests. Good luck brother man""}]",MrGjKm,https://yt3.ggpht.com/ytc/AIdro_nZa2L5tvX7AvSd4Ge5CNES4grhI0iSwAR0FOEKVgy-ONyNf84-qq6U12ADeVbgPcot_Q=s88-c-k-c0x00ffffff-no-rj,0,4,0
UCeH3E9o4br7ZukFfVjBr3IQ,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Nelk is Commercial asf now, they care more about money and branding that fun and crazy vids""}]",Olive Juice,https://yt3.ggpht.com/ytc/AIdro_knHwbOAQZCmp4XdnE_16EWzn5R6kPXBA97DTgqHnM=s88-c-k-c0x00ffffff-no-rj,0,18,0
UCarQXe_r7zcbkoaChRPgabQ,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 3, ""comment"": ""Dude is legit showing how fortunate he feels. Very real dude here.""}]",Pete Compiano,https://yt3.ggpht.com/ytc/AIdro_mFy5x7eADp6lgQ1VOC8tDmGAjL_u0-SsbhaStmvbs=s88-c-k-c0x00ffffff-no-rj,43,0,4
UCln4D1XH3LTk-np_fdxKjjA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Yadnusssss. Been watching from the beginning when you Kyle and Lucas rented that apartment in LA sharing rooms, I love seeing this growth from you, you were always my favorite. Keep at it and don\u2019t stop""}]",Casey Tjernagel,https://yt3.ggpht.com/ytc/AIdro_n68ziQLwlP2zE2AoW58ea3RWol98GNssqM9F9i2ODfKsPj4j3sBfuxm6Wo8-ppOXb3Jw=s88-c-k-c0x00ffffff-no-rj,0,0,0
UC7bH-NExZOYmZNLnsNra1AA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Your washed Jesse dog shit content""}]",Funny memes 2023,https://yt3.ggpht.com/Wp5VP_5GfWa1oAoK8jWcaiQ-5Xsefpu06Jj1U72j6EXpoMsfLY-JAq20uKUBc6XzyRO3TuuPy0s=s88-c-k-c0x00ffffff-no-rj,18,0,1
UCa5tlvenscvhNxiogXW5EPA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Jesse you\u2019re a legend! I can never wear white was my favorite. I like how you are independent now. Will we ever see you w the boys again?""}]",Dan Gonzales,https://yt3.ggpht.com/ytc/AIdro_kxrD114EVKKHrtJRGD21AQV8ZbE9gHIWXehjP_89ahbuE=s88-c-k-c0x00ffffff-no-rj,52,0,7
UCs2LSa5OxTbFCr9ne1_aDFA,"[{""video_id"": ""spUTRgDHq_o"", ""like_count"": 0, ""comment"": ""Jesse buckle up my boy. It\u2019s game time. Can\u2019t wait to see you go all out.""}]",payitforward Power,https://yt3.ggpht.com/ytc/AIdro_kiNhJlKxqNc0zi91LEjzJ3fvjWgmr3rdCybC00qc3KJQ=s88-c-k-c0x00ffffff-no-rj,0,18,0
